1,A& N Islands,16
2,Andhra Pradesh,-4863
3,Arunachal Pradesh,-75
4,Assam,-488
5,Bihar,-608
6,Chandigarh,4
7,Chhattisgarh,1368
8,Dadra & Nagar Haveli,18
9,Daman & Diu,5
10,Delhi,-15
11,Goa,40
12,Gujarat,1527
13,Haryana,143
14,Himachal Pradesh,3
15,Jammu & Kashmir,926
16,Jharkhand,-509
17,Karnataka,1189
18,Kerala,-519
19,Lakshadweep,0
20,Madhya Pradesh,318
21,Maharashtra,127
22,Manipur,1
23,Meghalaya,30
24,Mizoram,4
25,Nagaland,2
26,Odisha,761
27,Puducherry,-22
28,Punjab,93
29,Rajasthan,3896
30,Sikkim,0
31,Tamil Nadu,30
32,Telangana,4863
33,Tripura,494
34,Uttar Pradesh,0
35,Uttarakhand,271
36,West Bengal,13
