S.No,State/UT,Difference in CHC in 2005 and 2016,Points
1,A & N Islands,0,2
2,Andhra Pradesh,29,3
3,Arunachal Pradesh,32,3
4,Assam,51,4
5,Bihar,47,3
6,Chandigarh,1,2
7,Chhattisgarh,39,3
8,D & N Haveli,-1,2
9,Daman & Diu,1,2
10,Delhi,0,2
11,Goa,-1,2
12,Gujarat,50,3
13,Haryana,38,3
14,Himachal Pradesh,13,3
15,Jammu & Kashmir,14,3
16,Jharkhand,141,4
17,Karnataka,-48,1
18,Kerala,119,4
19,Lakshadweep,0,2
20,Madhya Pradesh,105,4
21,Maharashtra,-22,1
22,Manipur,1,2
23,Meghalaya,3,3
24,Mizoram,0,2
25,Nagaland,0,2
26,Odisha,146,4
27,Puducherry,-1,2
28,Punjab,34,3
29,Rajasthan,245,5
30,Sikkim,-2,2
31,Tamil Nadu,350,5
32,Telangana,114,4
33,Tripura,10,3
34,Uttar Pradesh,387,5
35,Uttarakhand,15,3
36,West Bengal,254,5
