S. No.,State/UT,Total Number of PHCs functioning - 2005,PHCs functioning in Govt. Building - 2005,PHCs functioning in Rented Building - 2005,PHCs functioning in Rent Free Panchayat / Vol. Society Building - 2005,Total Number of PHCs functioning - 2016,PHCs functioning in Govt. Building - 2016,PHCs functioning in Rented Building - 2016,PHCs functioning in Rent Free Panchayat / Vol. Society Building - 2016,Buildings under construction - 2016
1,Andhra Pradesh,1570,1281,289,0,1075,998,77,0,77
2,Arunachal Pradesh,85,NA,NA,NA,143,143,0,0,0
3,Assam,610,610,0,0,1014,1004,10,0,105
4,Bihar,1648,NA,NA,NA,1802,1725,0,0,98
5,Chhattisgarh,517,326,0,191,790,644,7,139,68
6,Goa,19,18,1,0,22,22,0,0,0
7,Gujarat,1070,663,0,407,1314,1083,17,214,103
8,Haryana,408,288,0,120,474,414,6,54,6
9,Himachal Pradesh,439,312,46,81,518,391,42,85,165
10,Jammu & Kashmir,334,NA,NA,NA,637,486,151,0,81
11,Jharkhand,561,NA,NA,NA,327,255,21,51,93
12,Karnataka,1681,1439,92,150,2353,2245,67,41,362
13,Kerala,911,837,34,40,824,789,17,18,0
14,Madhya Pradesh,1192,746,446,0,1171,1137,34,0,55
15,Maharashtra,1780,1417,7,356,1811,1646,6,159,67
16,Manipur,72,NA,NA,NA,85,85,0,0,9
17,Meghalaya,101,101,0,0,109,109,0,0,3
18,Mizoram,57,57,0,0,57,57,0,0,0
19,Nagaland,87,87,0,0,126,118,1,7,2
20,Odisha,1282,1282,0,0,1305,1261,0,44,33
21,Punjab,484,409,0,75,427,385,0,42,0
22,Rajasthan,1713,1446,0,267,2080,1520,0,560,185
23,Sikkim,24,24,0,0,24,24,0,0,0
24,Tamil Nadu,1380,1340,40,0,1368,1289,0,79,60
25,Telangana,NA,NA,NA,NA,668,668,0,0,0
26,Tripura,73,73,0,0,94,94,0,0,3
27,Uttarakhand,225,182,43,0,257,227,20,10,1
28,Uttar Pradesh,3660,1835,1825,0,3497,3392,105,0,40
29,West Bengal,1173,1173,0,0,909,908,1,0,15
30,A& N Islands,20,20,0,0,22,22,0,0,0
31,Chandigarh,0,0,0,0,3,3,0,0,0
32,D & N Haveli,6,6,0,0,11,11,0,0,0
33,Daman & Diu,3,3,0,0,4,4,0,0,0
34,Delhi,8,8,0,0,5,5,0,0,0
35,Lakshadweep,4,4,0,0,4,3,1,0,0
36,Puducherry,39,36,3,0,24,24,0,0,0
All India/ Total,All India/ Total,23236,16023,2826,1687,25354,23191,583,1503,1631
