Category,State/UT,Population 2001 Census - Rural,Population 2001 Census - Urban,Population 2001 Census - Total,Population 2001 Census - Rural %,Population 2011 Census - Rural,Population 2011 Census - Urban,Population 2011 Census - Total,Population 2011 Census - Rural %
State,Andhra Pradesh,55401067,20808940,76210007,72.7,34776389,14610410,49386799,70.4
State,Arunachal Pradesh,870087,227881,1097968,79.2,1066358,317369,1383727,77.1
State,Assam,23216288,3439240,26655528,87.1,26807034,4398542,31205576,85.9
State,Bihar,74316709,8681800,82998509,89.5,92341436,11758016,104099452,88.7
State,Chhattisgarh,16648056,4185747,20833803,79.9,19607961,5937237,25545198,76.8
State,Goa,677091,670577,1347668,50.2,551731,906814,1458545,37.8
State,Gujarat,31740767,18930250,50671017,62.6,34694609,25745083,60439692,57.4
State,Haryana,15029260,6115304,21144564,71.1,16509359,8842103,25351462,65.1
State,Himachal Pradesh,5482319,595581,6077900,90.2,6176050,688552,6864602,90
State,Jammu & Kashmir,7627062,2516638,10143700,75.2,9108060,3433242,12541302,72.6
State,Jharkhand,20952088,5993741,26945829,77.8,25055073,7933061,32988134,76
State,Karnataka,34889033,17961529,52850562,66,37469335,23625962,61095297,61.3
State,Kerala,23574449,8266925,31841374,74,17471135,15934926,33406061,52.3
State,Madhya Pradesh,44380878,15967145,60348023,73.5,52557404,20069405,72626809,72.4
State,Maharashtra,55777647,41100980,96878627,57.6,61556074,50818259,112374333,54.8
State,Manipur,1590820,575968,2166788,73.4,2021640,834154,2855794,70.8
State,Meghalaya,1864711,454111,2318822,80.4,2371439,595450,2966889,79.9
State,Mizoram,447567,441006,888573,50.4,525435,571771,1097206,47.9
State,Nagaland,1647249,342787,1990036,82.8,1407536,570966,1978502,71.1
State,Odisha,31287422,5517238,36804660,85,34970562,7003656,41974218,83.3
State,Punjab,16096488,8262511,24358999,66.1,17344192,10399146,27743338,62.5
State,Rajasthan,43292813,13214375,56507188,76.6,51500352,17048085,68548437,75.1
State,Sikkim,480981,59870,540851,88.9,456999,153578,610577,74.8
State,Tamil Nadu,34921681,27483998,62405679,56,37229590,34917440,72147030,51.6
State,Telangana,NA,NA,NA,NA,21585313,13608665,35193978,61.3
State,Tripura,2653453,545750,3199203,82.9,2712464,961453,3673917,73.8
State,Uttarakhand,6310275,2179074,8489349,74.3,7036954,3049338,10086292,69.8
State,Uttar Pradesh,131658339,34539582,166197921,79.2,155317278,44495063,199812341,77.7
State,West Bengal,57748946,22427251,80176197,72,62183113,29093002,91276115,68.1
Union Territory,A& N Islands,239954,116198,356152,67.4,237093,143488,380581,62.3
Union Territory,Chandigarh,92120,808515,900635,10.2,28991,1026459,1055450,2.7
Union Territory,D & N Haveli,170027,50463,220490,77.1,183114,160595,343709,53.3
Union Territory,Daman & Diu,100856,57348,158204,63.8,60396,182851,243247,24.8
Union Territory,Delhi,944727,12905780,13850507,6.8,419042,16368899,16787941,2.5
Union Territory,Lakshadweep,33683,26967,60650,55.5,14141,50332,64473,21.9
Union Territory,Puducherry,325726,648619,974345,33.4,395200,852753,1247953,31.7
All India,All India,742490639,286119689,1028610328,72.2,833748852,377106125,1210854977,68.9
