1,A& N Islands,107,123
2,Andhra Pradesh,12522,7659
3,Arunachal Pradesh,379,304
4,Assam,5109,4621
5,Bihar,10337,9729
6,Chandigarh,13,17
7,Chhattisgarh,3818,5186
8,Dadra & Nagar Haveli,38,56
9,Daman & Diu,21,26
10,Delhi,41,26
11,Goa,172,212
12,Gujarat,7274,8801
13,Haryana,2433,2576
14,Himachal Pradesh,2068,2071
15,Jammu & Kashmir,1879,2805
16,Jharkhand,4462,3953
17,Karnataka,8143,9332
18,Kerala,5094,4575
19,Lakshadweep,14,14
20,Madhya Pradesh,8874,9192
21,Maharashtra,10453,10580
22,Manipur,420,421
23,Meghalaya,401,431
24,Mizoram,366,370
25,Nagaland,394,396
26,Odisha,5927,6688
27,Puducherry,76,54
28,Punjab,2858,2951
29,Rajasthan,10512,14408
30,Sikkim,147,147
31,Tamil Nadu,8682,8712
32,Telangana,-1,4863
33,Tripura,539,1033
34,Uttar Pradesh,20521,20521
35,Uttarakhand,1576,1847
36,West Bengal,10356,10369
