S. No.,State/UT,Sub Centre -2005,PHCs - 2005,CHCs - 2005,Sub Centre - 2016,PHCs - 2016,CHCs - 2016
1,Andhra Pradesh,12522,1570,164,7659,1075,193
2,Arunachal Pradesh,379,85,31,304,143,63
3,Assam,5109,610,100,4621,1014,151
4,Bihar,10337,1648,101,9729,1802,148
5,Chhattisgarh,3818,517,116,5186,790,155
6,Goa,172,19,5,212,22,4
7,Gujarat,7274,1070,272,8801,1314,322
8,Haryana,2433,408,72,2576,474,110
9,Himachal Pradesh,2068,439,66,2071,518,79
10,Jammu & Kashmir,1879,334,70,2805,637,84
11,Jharkhand,4462,561,47,3953,327,188
12,Karnataka,8143,1681,254,9332,2353,206
13,Kerala,5094,911,106,4575,824,225
14,Madhya Pradesh,8874,1192,229,9192,1171,334
15,Maharashtra,10453,1780,382,10580,1811,360
16,Manipur,420,72,16,421,85,17
17,Meghalaya,401,101,24,431,109,27
18,Mizoram,366,57,9,370,57,9
19,Nagaland,394,87,21,396,126,21
20,Odisha,5927,1282,231,6688,1305,377
21,Punjab,2858,484,116,2951,427,150
22,Rajasthan,10512,1713,326,14408,2080,571
23,Sikkim,147,24,4,147,24,2
24,Tamil Nadu,8682,1380,35,8712,1368,385
25,Telangana,NA,NA,NA,4863,668,114
26,Tripura,539,73,10,1033,94,20
27,Uttarakhand,1576,225,44,1847,257,59
28,Uttar Pradesh,20521,3660,386,20521,3497,773
29,West Bengal,10356,1173,95,10369,909,349
30,A& N Islands,107,20,4,123,22,4
31,Chandigarh,13,0,1,17,3,2
32,Dadra & Nagar Haveli,38,6,1,56,11,0
33,Daman & Diu,21,3,1,26,4,2
34,Delhi,41,8,0,26,5,0
35,Lakshadweep,14,4,3,14,4,3
36,Puducherry,76,39,4,54,24,3
All India/ Total,All India/ Total,146026,23236,3346,155069,25354,5510
